age,fnlwgt,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,workclass_grouped,education_grouped,occupation_grouped,native_country_grouped
44,77313,Divorced,Unmarried,White,Female,0,0,38,<=50K,Private,Some College,White-Collar,USA
65,205309,Married-civ-spouse,Husband,White,Male,0,0,20,<=50K,Private,High School,White-Collar,USA
58,92141,Widowed,Not-in-family,Black,Female,0,0,40,<=50K,Government,Some College,White-Collar,USA
72,205343,Widowed,Unmarried,White,Female,0,0,40,<=50K,Private,Dropout,White-Collar,USA
57,190942,Widowed,Not-in-family,Black,Female,0,0,30,<=50K,Private,Dropout,Service,USA
45,59380,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
28,96020,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Private,Bachelors,White-Collar,USA
33,109282,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar,USA
45,289230,Divorced,Unmarried,White,Female,0,0,48,>50K,Private,Bachelors,White-Collar,USA
23,279243,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Government,Some College,Service,USA
37,179488,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar,USA
32,194426,Married-civ-spouse,Husband,White,Male,15024,0,40,>50K,Private,Bachelors,Support,USA
25,134821,Never-married,Own-child,White,Female,0,0,40,<=50K,Private,High School,White-Collar,USA
65,79272,Widowed,Not-in-family,Asian-Pac-Islander,Female,0,0,6,<=50K,Private,Some College,Service,USA
63,231777,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Self-Employed,Bachelors,Blue-Collar,USA
59,61298,Married-spouse-absent,Not-in-family,White,Female,0,0,40,<=50K,Government,Bachelors,White-Collar,USA
21,30619,Never-married,Not-in-family,White,Female,0,0,38,<=50K,Private,Some College,White-Collar,USA
18,155905,Never-married,Own-child,White,Female,0,0,60,<=50K,Government,Advanced,White-Collar,USA
32,393376,Never-married,Not-in-family,White,Female,0,0,48,<=50K,Government,Bachelors,Service,USA
40,356934,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Private,Advanced,White-Collar,USA
56,255386,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,<=50K,Government,Some College,White-Collar,Asia
45,236040,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Private,Some College,White-Collar,USA
22,37932,Never-married,Not-in-family,White,Male,0,0,35,<=50K,Private,Some College,White-Collar,Europe
24,537222,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Private,High School,White-Collar,USA
24,172987,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Private,Bachelors,Support,USA
66,108185,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Private,Dropout,White-Collar,USA
21,67244,Never-married,Unmarried,White,Female,0,0,40,<=50K,Private,High School,Sales,USA
24,123160,Married-spouse-absent,Not-in-family,Asian-Pac-Islander,Female,0,0,10,<=50K,Government,Advanced,White-Collar,Asia
33,316663,Married-civ-spouse,Wife,White,Female,0,0,50,<=50K,Private,Some College,Blue-Collar,USA
27,131712,Married-civ-spouse,Husband,White,Male,0,1485,50,>50K,Private,Bachelors,White-Collar,USA
29,210959,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,Some College,White-Collar,USA
36,344351,Never-married,Own-child,White,Male,0,0,40,<=50K,Self-Employed,High School,Blue-Collar,USA
21,176486,Never-married,Unmarried,White,Female,0,0,30,<=50K,Private,Some College,White-Collar,USA
30,198660,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Private,High School,Blue-Collar,USA
47,123681,Married-civ-spouse,Husband,White,Male,7688,0,60,>50K,Government,Advanced,White-Collar,USA
