age,marital_status,relationship,sex,capital_gain,capital_loss,hours_per_week,income,workclass_grouped,education_grouped,occupation_grouped
44,Divorced,Unmarried,Female,0,0,38,<=50K,Private,Some College,White-Collar
65,Married-civ-spouse,Husband,Male,0,0,20,<=50K,Private,High School,White-Collar
58,Widowed,Not-in-family,Female,0,0,40,<=50K,Government,Some College,White-Collar
72,Widowed,Unmarried,Female,0,0,40,<=50K,Private,Dropout,White-Collar
57,Widowed,Not-in-family,Female,0,0,30,<=50K,Private,Dropout,Service
45,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
28,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
33,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
45,Divorced,Unmarried,Female,0,0,48,>50K,Private,Bachelors,White-Collar
23,Never-married,Not-in-family,Male,0,0,40,<=50K,Government,Some College,Service
37,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
32,Married-civ-spouse,Husband,Male,15024,0,40,>50K,Private,Bachelors,Support
25,Never-married,Own-child,Female,0,0,40,<=50K,Private,High School,White-Collar
65,Widowed,Not-in-family,Female,0,0,6,<=50K,Private,Some College,Service
63,Never-married,Not-in-family,Male,0,0,40,<=50K,Self-Employed,Bachelors,Blue-Collar
59,Married-spouse-absent,Not-in-family,Female,0,0,40,<=50K,Government,Bachelors,White-Collar
21,Never-married,Not-in-family,Female,0,0,38,<=50K,Private,Some College,White-Collar
18,Never-married,Own-child,Female,0,0,60,<=50K,Government,Advanced,White-Collar
32,Never-married,Not-in-family,Female,0,0,48,<=50K,Government,Bachelors,Service
40,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Advanced,White-Collar
56,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Government,Some College,White-Collar
45,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,White-Collar
22,Never-married,Not-in-family,Male,0,0,35,<=50K,Private,Some College,White-Collar
24,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,High School,White-Collar
24,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Private,Bachelors,Support
66,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Dropout,White-Collar
21,Never-married,Unmarried,Female,0,0,40,<=50K,Private,High School,Sales
24,Married-spouse-absent,Not-in-family,Female,0,0,10,<=50K,Government,Advanced,White-Collar
33,Married-civ-spouse,Wife,Female,0,0,50,<=50K,Private,Some College,Blue-Collar
27,Married-civ-spouse,Husband,Male,0,1485,50,>50K,Private,Bachelors,White-Collar
29,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,White-Collar
36,Never-married,Own-child,Male,0,0,40,<=50K,Self-Employed,High School,Blue-Collar
21,Never-married,Unmarried,Female,0,0,30,<=50K,Private,Some College,White-Collar
30,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
47,Married-civ-spouse,Husband,Male,7688,0,60,>50K,Government,Advanced,White-Collar
65,Married-civ-spouse,Husband,Male,10605,0,40,>50K,Self-Employed,Bachelors,Service
20,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,White-Collar
38,Married-civ-spouse,Husband,Male,7298,0,50,>50K,Private,High School,Blue-Collar
25,Married-civ-spouse,Husband,Male,0,0,45,<=50K,Private,High School,Blue-Collar
36,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Blue-Collar
32,Never-married,Own-child,Male,0,0,40,<=50K,Private,Some College,White-Collar
56,Married-civ-spouse,Husband,Male,0,0,35,>50K,Private,High School,Blue-Collar
30,Separated,Not-in-family,Female,0,0,40,<=50K,Private,High School,White-Collar
41,Divorced,Unmarried,Male,0,0,40,<=50K,Self-Employed,Advanced,Blue-Collar
59,Married-civ-spouse,Husband,Male,7688,0,40,>50K,Private,High School,Blue-Collar
26,Never-married,Not-in-family,Male,0,0,50,<=50K,Self-Employed,High School,Blue-Collar
17,Never-married,Own-child,Female,0,1602,18,<=50K,Private,Dropout,Service
25,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,High School,Sales
17,Never-married,Own-child,Male,0,0,10,<=50K,Self-Employed,Dropout,Blue-Collar
70,Married-civ-spouse,Husband,Male,0,0,40,>50K,Self-Employed,Advanced,White-Collar
50,Married-civ-spouse,Husband,Male,7688,0,40,>50K,Self-Employed,Some College,Blue-Collar
39,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,High School,Blue-Collar
43,Separated,Unmarried,Female,0,0,40,<=50K,Private,Some College,White-Collar
61,Widowed,Unmarried,Female,0,2001,40,<=50K,Private,Dropout,Blue-Collar
23,Never-married,Not-in-family,Male,0,0,40,<=50K,Private,Some College,Blue-Collar
48,Married-civ-spouse,Wife,Female,0,0,40,>50K,Private,High School,White-Collar
38,Married-civ-spouse,Husband,Male,0,0,65,<=50K,Self-Employed,High School,White-Collar
43,Never-married,Not-in-family,Male,0,0,50,>50K,Private,Some College,White-Collar
27,Never-married,Other-relative,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
23,Never-married,Not-in-family,Female,0,0,40,<=50K,Private,Bachelors,White-Collar
33,Married-civ-spouse,Husband,Male,2829,0,70,<=50K,Self-Employed,High School,Blue-Collar
27,Never-married,Own-child,Male,0,0,45,<=50K,Self-Employed,High School,Sales
28,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Private,Some College,Support
31,Never-married,Not-in-family,Male,0,0,50,<=50K,Private,High School,Service
38,Divorced,Unmarried,Female,0,0,40,<=50K,Private,Dropout,Sales
27,Married-civ-spouse,Husband,Male,0,0,55,<=50K,Private,High School,Blue-Collar
23,Married-civ-spouse,Husband,Male,0,0,20,<=50K,Private,Some College,Service
21,Never-married,Unmarried,Female,0,0,35,<=50K,Private,Some College,Sales
46,Married-civ-spouse,Husband,Male,3103,0,40,>50K,Private,Bachelors,White-Collar
39,Married-civ-spouse,Husband,Male,0,0,50,>50K,Private,Some College,White-Collar
25,Married-spouse-absent,Not-in-family,Male,0,0,55,<=50K,Private,High School,Blue-Collar
38,Never-married,Not-in-family,Female,0,0,45,<=50K,Private,Bachelors,Support
23,Never-married,Not-in-family,Female,0,0,20,<=50K,Private,Bachelors,Support
30,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Bachelors,Sales
33,Separated,Not-in-family,Male,0,0,37,<=50K,Private,High School,White-Collar
19,Never-married,Own-child,Female,0,0,35,<=50K,Private,High School,Service
22,Separated,Unmarried,Female,0,0,43,<=50K,Private,Some College,Sales
18,Never-married,Own-child,Male,0,0,30,<=50K,Private,Some College,Blue-Collar
35,Married-civ-spouse,Husband,Male,0,0,40,<=50K,Self-Employed,High School,Blue-Collar
63,Widowed,Not-in-family,Female,0,0,41,<=50K,Private,Dropout,Service
47,Never-married,Not-in-family,Male,0,0,60,<=50K,Self-Employed,Some College,Blue-Collar
44,Married-civ-spouse,Husband,Male,0,0,60,<=50K,Self-Employed,Some College,White-Collar
42,Divorced,Unmarried,Male,0,0,40,<=50K,Private,Dropout,Blue-Collar
20,Never-married,Own-child,Male,0,0,10,<=50K,Private,Some College,Blue-Collar
24,Married-civ-spouse,Husband,Male,0,0,42,<=50K,Private,High School,Blue-Collar
38,Never-married,Unmarried,Female,6497,0,35,<=50K,Private,Some College,White-Collar
43,Married-civ-spouse,Husband,Male,0,0,38,>50K,Private,Bachelors,White-Collar
37,Married-civ-spouse,Husband,Male,7298,0,50,>50K,Self-Employed,Bachelors,White-Collar
58,Widowed,Not-in-family,Female,0,0,27,<=50K,Private,High School,White-Collar
27,Married-civ-spouse,Husband,Male,0,0,70,<=50K,Self-Employed,Some College,Blue-Collar
61,Married-civ-spouse,Husband,Male,0,2051,20,<=50K,Private,High School,Blue-Collar
68,Married-civ-spouse,Husband,Male,0,0,30,<=50K,Private,Bachelors,Sales
32,Married-civ-spouse,Husband,Male,0,0,40,>50K,Private,Some College,Blue-Collar
31,Never-married,Not-in-family,Male,0,0,45,<=50K,Government,Bachelors,White-Collar
57,Married-civ-spouse,Husband,Male,0,0,50,<=50K,Self-Employed,Some College,Blue-Collar
23,Never-married,Not-in-family,Female,0,0,30,<=50K,Private,Some College,Sales
18,Never-married,Own-child,Male,0,0,20,<=50K,Private,Dropout,Service
43,Divorced,Not-in-family,Female,0,0,40,<=50K,Government,Some College,White-Collar
46,Never-married,Not-in-family,Female,0,2258,35,<=50K,Government,Advanced,White-Collar
